Symbol,Date,Open,High,Low,Close,Volume,IBM
AMZN,2020-06-04,2478.59,2507.54,2476.39,2498.815,398292,127.84
AMZN,2020-06-03,2468.68,2478.27,2461.17,2477.83,208010,128.005
AMZN,2020-06-02,2464.4,2472.16,2455.19,2463.12,286918,125.20999999999998
AMZN,2020-06-01,2446.06,2469.98,2444.17,2466.0251,393513,124.42999999999999
AMZN,2020-05-29,2415.94,2426.0,2408.5,2413.0,230817,122.71999999999997
AMZN,2020-05-28,2387.49,2419.0,2378.23,2405.0,301133,125.61999999999998
AMZN,2020-05-27,2400.95,2409.05,2360.81,2368.465,561858,124.49999999999997
AMZN,2020-05-26,2456.77,2462.0,2438.31,2441.62,440400,122.13999999999999
AMZN,2020-05-26,2456.77,2462.0,2438.31,2441.62,440400,122.13999999999997
AMZN,2020-05-22,2457.0,2469.85,2440.17,2466.0,255133,118.01999999999997
AMZN,2020-05-21,2501.11,2525.45,2493.0,2501.8759,508696,121.27079999999997
AMZN,2020-05-20,2477.87,2489.8,2473.0,2484.357,313919,121.43999999999996
AMZN,2020-05-19,2429.28,2468.8,2428.97,2465.09,429071,121.00999999999996
AMZN,2020-05-18,2403.99,2404.3456,2384.01,2391.15,414146,120.27999999999996
AMZN,2020-05-15,2368.79,2383.685,2367.0,2377.56,248062,116.96999999999994
AMZN,2020-05-14,2361.01,2384.6001,2356.205,2359.88,300031,112.43999999999994
AMZN,2020-05-13,2367.96,2382.0,2354.465,2373.6401,328830,118.28999999999996
AMZN,2020-05-12,2411.87,2418.9999,2387.91,2399.5,258146,123.58999999999996
AMZN,2020-05-11,2375.0,2405.92,2372.11,2405.36,367714,121.06999999999996
AMZN,2020-05-08,2372.14,2373.78,2357.0,2359.45,232942,121.63999999999999
AMZN,2020-05-07,2374.78,2376.0,2356.0,2360.18,304492,122.09999999999998
AMZN,2020-05-06,2329.44,2340.71,2325.25,2331.735,236778,122.76999999999998
AMZN,2020-05-05,2340.0,2351.0,2326.0,2330.0,327334,124.18579999999999
AMZN,2020-05-04,2256.39,2300.0,2256.38,2298.07,642597,119.95999999999998
AMZN,2020-05-01,2336.46,2362.44,2308.39,2320.54,985128,122.40999999999998
AMZN,2020-04-30,2420.06,2438.44,2396.01,2426.165,562945,126.69499999999996
AMZN,2020-04-29,2330.0,2359.76,2310.0,2358.18,479161,128.38999999999996
AMZN,2020-04-28,2372.39,2373.5,2338.0,2350.14,453031,126.77999999999997
AMZN,2020-04-27,2443.2,2444.88,2420.06,2437.645,468185,126.46999999999997
AMZN,2020-04-24,2418.0,2420.4332,2382.0,2387.57,315686,121.63999999999996
AMZN,2020-04-23,2399.98,2424.18,2392.9842,2418.13,485339,119.77749999999996
AMZN,2020-04-22,2369.8,2392.99,2357.51,2387.67,515619,118.78999999999996
AMZN,2020-04-21,2417.01,2428.3099,2364.94,2390.326,643936,115.06999999999995
AMZN,2020-04-20,2389.95,2444.98,2386.05,2398.8537,795068,119.14999999999998
AMZN,2020-04-17,2372.94,2389.0,2316.02,2378.89,1052038,119.96999999999997
