Symbol,Date,Open,High,Low,Close,Volume,ARPO SMA,ARPO spanTwelveEMA,ARPO spanTwntySixEMA,ARPO_x,ARPO_y
ARPO,2021-01-19,1.24,1.25,1.2313,1.2313,79397,1.2313,1.1470089823768557,1.11328337043908,0.03372561193777557,0.008692093777105937
ARPO,2021-01-15,1.21,1.22,1.21,1.22,104179,1.2199999999999998,1.1316833428090112,1.1038420400742066,0.027841302734804563,0.0024337142369385283
ARPO,2021-01-14,1.2,1.22,1.18,1.22,245106,1.2199999999999995,1.115625768774286,1.094549403280143,0.021076365494142824,-0.00391818288752798
ARPO,2021-01-13,1.2,1.21,1.19,1.1911,181164,1.1910999999999994,1.096648635824156,1.0845133555425543,0.012135280281601712,-0.010166819982945736
ARPO,2021-01-12,1.18,1.23,1.16,1.1719,631346,1.1718999999999995,1.079475660519457,1.075986423985959,0.003489236533498419,-0.015742345049082597
ARPO,2021-01-11,1.12,1.12,1.1,1.115,232108,1.1149999999999989,1.0626712351593584,1.0683133379048353,-0.00564210274547694,-0.020550240444727794
ARPO,2021-01-08,1.14,1.14,1.1,1.11,139041,1.1099999999999997,1.0531569142792416,1.064578404937222,-0.011421490657980373,-0.024277274869540504
ARPO,2021-01-07,1.12,1.12,1.08,1.0869,189547,1.0868999999999989,1.0428218077845584,1.0609446773321998,-0.018122869547641415,-0.027491220922430535
ARPO,2021-01-06,1.1331,1.19,1.1,1.1002,1251794,1.1001999999999992,1.0348075910181145,1.0588682515187755,-0.024060660500661246,-0.02983330876612781
ARPO,2021-01-05,1.04,1.06,1.02,1.0484,260317,1.0483999999999989,1.022918062112317,1.0555617116402778,-0.032643649527960734,-0.031276470832494505
ARPO,2021-01-04,0.9951,1.0,0.972,0.9799,179725,0.9798999999999988,1.018284982496375,1.0561346485715,-0.0378496660751253,-0.03093467615862795
ARPO,2021-01-04,0.9951,1.0,0.972,0.9799,179725,0.9798999999999988,1.0252640702229885,1.06223342045722,-0.03696935023423165,-0.029205928679503664
ARPO,2020-12-31,1.0,1.0,0.9602,0.977999,203918,0.977998999999999,1.0335120829908042,1.0688200940937975,-0.035308011102993316,-0.027265073290821725
ARPO,2020-12-30,0.9696,0.9874,0.9681,0.975,93829,0.9749999999999988,1.043605370807314,1.0760857816213014,-0.03248041081398734,-0.02525433883777883
ARPO,2020-12-29,1.01,1.02,1.01,1.02,238596,1.019999999999999,1.0560790745904622,1.0841726441510056,-0.02809356956054332,-0.023447820843726704
ARPO,2020-12-28,1.05,1.07,1.04,1.05,120111,1.0499999999999985,1.0626389063341828,1.0893064556830858,-0.026667549348903245,-0.02228638366452255
ARPO,2020-12-28,1.05,1.07,1.04,1.05,120111,1.0499999999999987,1.064936889304034,1.092450972137733,-0.027514082833698827,-0.021191092243427433
ARPO,2020-12-24,1.09,1.09,1.05,1.06,151257,1.0599999999999985,1.0676526873593128,1.0958470499087516,-0.028194362549438745,-0.019610344595859582
ARPO,2020-12-23,1.03,1.04,1.01,1.0242,209658,1.0241999999999982,1.069044085061006,1.0987148139014518,-0.029670728840445637,-0.01746434010746479
ARPO,2020-12-22,1.05,1.06,1.02,1.0246,312686,1.0245999999999982,1.0771975550720982,1.1046759990135675,-0.02747844394146948,-0.014412742924219523
ARPO,2020-12-21,1.0,1.05,1.0,1.04,1972281,1.0399999999999985,1.0867607469033889,1.1110820789346532,-0.024321332031264298,-0.011146317669907091
ARPO,2020-12-18,1.0,1.025,1.0,1.0116,339634,1.0115999999999985,1.0952627008858231,1.1167686452494254,-0.02150594436360209,-0.007852564079567788
ARPO,2020-12-17,1.04,1.05,1.04,1.04,201977,1.0399999999999985,1.1104741010468822,1.1251821368693795,-0.014708035822497356,-0.0044392190085591554
ARPO,2020-12-16,1.08,1.08,1.02,1.0389,1228446,1.0388999999999982,1.1232875739644972,1.13199670781893,-0.008709133854432727,-0.0018720148050746046
ARPO,2020-12-15,1.21,1.2102,1.13,1.13,921354,1.1299999999999981,1.1386307692307691,1.1394444444444445,-0.0008136752136751467,-0.0001627350427350738
ARPO,2020-12-14,1.22,1.25,1.13,1.1402,5609212,1.1401999999999983,1.1402,1.1402,0.0,0.0
