Symbol,Date,Open,High,Low,Close,Volume,OCX SMA_x,OCX SMA_y,OCX SMA_x.1,OCX SMA_y.1,OCX SMA_x.1.1,OCX SMA_y.1.1,OCX SMA_x.1.1.1,OCX SMA_y.1.1.1,OCX SMA_x.1.1.1.1,OCX SMA_y.1.1.1.1,OCX SMA_x.1.1.1.1.1,OCX SMA_y.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_x.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA_y.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,OCX SMA
OCX,2020-06-29,3.37,3.42,3.09,3.33,105151,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.3299999999999987,3.33,3.329999999999999
OCX,2020-06-26,3.49,3.49,3.3,3.39,54181,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999,3.390000000000001,3.389999999999999
OCX,2020-06-25,3.29,3.29,3.18,3.22,59464,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.22,3.220000000000001,3.2199999999999993
OCX,2020-06-24,3.16,3.34,3.15,3.165,50628,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.165,3.1650000000000014,3.1649999999999996
OCX,2020-06-23,3.25,3.36,3.18,3.2,63964,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2,3.200000000000002,3.2
OCX,2020-06-22,3.17,3.3,3.13,3.185,153598,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.185,3.1850000000000014,3.1849999999999996
OCX,2020-06-19,2.78,3.12,2.77,3.09,266093,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994,3.090000000000001,3.0899999999999994
OCX,2020-06-18,2.37,2.53,2.37,2.505,41462,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999
OCX,2020-06-17,2.53,2.54,2.5,2.51,9058,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999,2.5100000000000007,2.509999999999999
OCX,2020-06-16,2.48,2.53,2.48,2.505,40657,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999,2.505000000000001,2.504999999999999
OCX,2020-06-15,2.48,2.48,2.29,2.2906,69764,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999977,2.2906000000000004,2.2905999999999986
OCX,2020-06-12,2.37,2.47,2.35,2.45,32443,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.45,2.4500000000000006,2.4499999999999997,2.4500000000000006,2.449999999999999
OCX,2020-06-11,2.45,2.47,2.3501,2.4197,25455,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4197,2.4197000000000006,2.4196999999999997,2.4197000000000006,2.419699999999999
OCX,2020-06-10,2.59,2.6399,2.54,2.5431,36095,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986,2.5431000000000004,2.5430999999999986
