Symbol,Date,Open,High,Low,Close,Volume,PHAS SMA,PHAS spanTwelveEMA,PHAS spanTwntySixEMA,PHAS_x,PHAS_y
PHAS,2021-02-05,4.25,4.25,4.1,4.1957,32452,4.1957,4.082218028030332,4.037389121751629,0.04482890627870262,0.049585054695717695
PHAS,2021-02-04,4.2,4.25,4.2,4.22,10978,4.2200000000000015,4.0615849422176655,4.02472425149176,0.03686069072590481,0.05077409179997146
PHAS,2021-02-03,4.11,4.1774,4.11,4.135,14586,4.135000000000002,4.032782204439059,4.009102191611101,0.023680012827957952,0.054252442068487894
PHAS,2021-02-02,3.85,3.98,3.85,3.95,20031,3.950000000000001,4.0141971507007055,3.999030366939989,0.015166783760716562,0.06189554937862038
PHAS,2021-02-01,3.9,3.99,3.79,3.8199,21489,3.8199000000000014,4.0258693599190165,4.002952796295188,0.02291656362382799,0.07357774078309633
PHAS,2021-01-29,3.79,3.8499,3.77,3.83,7032,3.8300000000000014,4.063318334449746,4.017597019998803,0.04572131445094296,0.08624303507291319
PHAS,2021-01-28,3.93,3.93,3.83,3.9,12705,3.9000000000000012,4.105739849804245,4.032604781598708,0.07313506820553782,0.09637346522840573
PHAS,2021-01-27,4.02,4.06,3.84,3.98,63581,3.980000000000001,4.143147095223198,4.0432131641266045,0.09993393109659454,0.10218306448412293
PHAS,2021-01-26,4.33,4.37,4.3086,4.3299,17521,4.3299,4.172810203445598,4.048270217256733,0.12453998618886608,0.10274534783100522
PHAS,2021-01-25,4.33,4.36,4.2517,4.3349,9361,4.334899999999998,4.14424842225389,4.025739834637272,0.11850858761661788,0.09729668824154022
PHAS,2021-01-22,4.16,4.2473,4.16,4.24,10231,4.239999999999998,4.109584499027323,4.0010070214082525,0.10857747761907087,0.09199371339777081
PHAS,2021-01-21,4.0,4.1899,4.0,4.065,37481,4.065,4.085872589759565,3.9818875831209133,0.10398500663865072,0.08784777234244578
PHAS,2021-01-20,4.21,4.24,4.18,4.205,40612,4.204999999999999,4.0896676060794865,3.975238589770588,0.11442901630889812,0.08381346376839433
PHAS,2021-01-19,4.13,4.19,4.12,4.17,15774,4.17,4.06869807991212,3.9568576769522346,0.1118404029598854,0.07615957563326825
PHAS,2021-01-19,4.13,4.19,4.12,4.17,15774,4.17,4.050279548987051,3.939806291108413,0.11047325787863782,0.06723936880161396
PHAS,2021-01-15,4.4,4.45,4.3,4.3001,126003,4.300099999999999,4.028512194257424,3.9213907943970874,0.10712139986033707,0.05643089653235789
PHAS,2021-01-14,4.0,4.2,4.0,4.1901,54842,4.190099999999998,3.9791325932133184,3.8910940579488535,0.08803853526446481,0.04375827070036331
PHAS,2021-01-13,4.17,4.17,4.1,4.135,8197,4.134999999999999,3.940774882888467,3.867173582584762,0.07360130030370549,0.032688204559337936
PHAS,2021-01-12,4.06,4.1398,4.0406,4.1398,16766,4.139799999999998,3.905461225231825,3.845747469191543,0.059713756040282284,0.022459930623246162
PHAS,2021-01-11,4.0,4.1,3.89,4.0,55127,3.999999999999999,3.8628541752739753,3.8222232667268665,0.04063090854710838,0.01314647426898724
PHAS,2021-01-08,4.14,4.23,4.13,4.14,65119,4.139999999999999,3.837918570778334,3.8080011280650163,0.0299174427133182,0.006275365699456842
PHAS,2021-01-07,3.76,3.81,3.76,3.81,17190,3.81,3.782994674556213,3.7814412183102166,0.00155345624599601,0.00036484644599161343
PHAS,2021-01-06,3.81,3.8998,3.69,3.7494,49256,3.7494,3.778084615384615,3.7791565157750338,-0.001071900390419156,6.769399599040323e-05
PHAS,2021-01-05,3.74,3.82,3.68,3.802,49354,3.802,3.7833,3.7815370370370367,0.0017629629629634105,0.00035259259259268205
PHAS,2021-01-04,3.4,3.78,3.36,3.7799,115553,3.7799,3.7799,3.7799,0.0,0.0
