Symbol,Date,Open,High,Low,Close,Volume,KO SMA_x,KO SMA_y,KO SMA_x.1,KO SMA_y.1,KO SMA_x.1.1,KO SMA_y.1.1,KO SMA_x.1.1.1,KO SMA_y.1.1.1,KO SMA_x.1.1.1.1,KO SMA_y.1.1.1.1,KO SMA_x.1.1.1.1.1,KO SMA_y.1.1.1.1.1,KO SMA_x.1.1.1.1.1.1,KO SMA_y.1.1.1.1.1.1,KO SMA_x,KO SMA_y
KO,2020-06-18,46.3,46.45,46.07,46.4015,790006,46.4015,46.4015,46.4015,46.4015,46.4015,46.4015,46.4015,46.4015,46.4015,46.4015,46.4015,46.4015,46.4015,46.4015,46.4015,46.4015
KO,2020-06-17,46.78,47.06,46.72,46.89,1271605,46.89,46.89,46.89,46.89,46.89,46.89,46.89,46.89,46.89,46.89,46.89,46.89,46.89,46.89,46.89,46.89
KO,2020-06-16,47.56,47.685,47.11,47.125,2071064,47.125,47.125,47.125,47.125,47.125,47.125,47.125,47.125,47.125,47.125,47.125,47.125,47.125,47.125,47.125,47.125
KO,2020-06-15,44.57,45.115,44.47,45.1,2761406,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.099999999999994
KO,2020-06-12,46.21,46.24,45.95,46.085,2074878,46.085,46.085,46.085,46.085,46.085,46.085,46.085,46.085,46.085,46.085,46.085,46.085,46.085,46.085,46.085,46.085
KO,2020-06-11,47.81,47.92,47.46,47.57,2245297,47.57,47.57,47.57,47.57,47.57,47.57,47.57,47.57,47.57,47.57,47.57,47.57,47.57,47.57,47.57,47.57
KO,2020-06-10,49.16,49.18,48.713,48.765,1703124,48.76500000000001,48.76500000000001,48.76500000000001,48.76500000000001,48.76500000000001,48.76500000000001,48.76500000000001,48.76500000000001,48.76500000000001,48.76500000000001,48.76500000000001,48.76500000000001,48.76500000000001,48.76500000000001,48.76500000000001,48.76500000000001
KO,2020-06-09,49.59,49.59,48.87,48.95,2120686,48.95,48.95,48.95,48.95,48.95,48.95,48.95,48.95,48.95,48.95,48.95,48.95,48.95,48.95,48.95,48.95
KO,2020-06-08,49.54,49.97,49.47,49.8,2308148,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8
KO,2020-06-05,48.54,48.87,48.46,48.715,1956081,48.715,48.715,48.715,48.715,48.715,48.715,48.715,48.715,48.715,48.715,48.715,48.715,48.715,48.715,48.715,48.715
KO,2020-06-04,47.94,48.24,47.89,48.195,1733131,48.19499999999999,48.19499999999999,48.19499999999999,48.19499999999999,48.19499999999999,48.19499999999999,48.19499999999999,48.19499999999999,48.19499999999999,48.19499999999999,48.19499999999999,48.19499999999999,48.19499999999999,48.19499999999999,48.19499999999999,48.19499999999999
KO,2020-06-03,47.27,47.76,47.12,47.7,1582040,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.699999999999996
KO,2020-06-02,47.16,47.28,46.815,46.91,1375558,46.90999999999998,46.90999999999998,46.90999999999998,46.90999999999998,46.90999999999998,46.90999999999998,46.90999999999998,46.90999999999998,46.90999999999998,46.90999999999998,46.90999999999998,46.90999999999998,46.90999999999998,46.90999999999998,46.90999999999998,46.90999999999998
