Symbol,Date,Open,High,Low,Close,Volume,AFMD SMA_x,AFMD SMA_y,AFMD SMA_x,AFMD SMA_y
AFMD,2020-06-22,3.97,4.03,3.91,3.9636,230944,3.9636,3.9636,3.9636,3.9636
AFMD,2020-06-19,3.6,3.66,3.56,3.63,270807,3.63,3.63,3.63,3.6300000000000003
AFMD,2020-06-18,3.43,3.62,3.4,3.56,125614,3.5600000000000005,3.5600000000000005,3.5600000000000005,3.5600000000000005
AFMD,2020-06-17,3.63,3.75,3.5706,3.62,251621,3.620000000000001,3.620000000000001,3.620000000000001,3.6200000000000006
AFMD,2020-06-16,3.43,3.49,3.3573,3.475,222547,3.4750000000000005,3.4750000000000005,3.4750000000000005,3.4750000000000005
AFMD,2020-06-15,2.99,3.125,2.93,3.1,71679,3.100000000000001,3.100000000000001,3.100000000000001,3.100000000000001
AFMD,2020-06-12,3.11,3.17,3.09,3.13,79937,3.1300000000000003,3.1300000000000003,3.1300000000000003,3.1300000000000003
AFMD,2020-06-11,3.03,3.1201,2.98,3.12,231363,3.12,3.12,3.12,3.12
AFMD,2020-06-10,3.32,3.38,3.26,3.29,109822,3.29,3.29,3.29,3.29
AFMD,2020-06-09,3.35,3.42,3.34,3.392,70157,3.3920000000000003,3.3920000000000003,3.3920000000000003,3.3920000000000003
AFMD,2020-06-08,3.6,3.6,3.47,3.5,66456,3.5000000000000004,3.5000000000000004,3.5000000000000004,3.5000000000000004
AFMD,2020-06-05,3.35,3.44,3.27,3.32,162701,3.3200000000000003,3.3200000000000003,3.3200000000000003,3.3200000000000003
AFMD,2020-06-04,3.46,3.57,3.43,3.5168,150286,3.5168000000000004,3.5168000000000004,3.5168000000000004,3.5168000000000004
AFMD,2020-06-03,3.47,3.54,3.4064,3.53,201731,3.53,3.53,3.53,3.5300000000000002
AFMD,2020-06-02,3.27,3.35,3.24,3.345,75833,3.345,3.345,3.345,3.345
AFMD,2020-06-01,3.26,3.4,3.26,3.3366,142618,3.3366,3.3366,3.3366,3.3365999999999993
AFMD,2020-05-29,3.03,3.17,2.9702,3.1401,244936,3.1400999999999994,3.1400999999999994,3.1400999999999994,3.1400999999999994
AFMD,2020-05-28,3.17,3.39,3.17,3.378,247626,3.378,3.378,3.378,3.3779999999999997
AFMD,2020-05-27,3.14,3.21,3.03,3.06,155311,3.06,3.06,3.06,3.0599999999999996
AFMD,2020-05-26,3.12,3.13,2.95,3.03,270565,3.03,3.03,3.03,3.03
AFMD,2020-05-26,3.12,3.13,2.95,3.03,270565,3.03,3.03,3.03,3.03
AFMD,2020-05-22,2.87,2.92,2.81,2.91,124575,2.91,2.91,2.91,2.9099999999999997
AFMD,2020-05-21,2.88,2.91,2.73,2.8652,103179,2.8652,2.8652,2.8652,2.8651999999999997
AFMD,2020-05-20,2.96,2.98,2.81,2.8232,276648,2.8231999999999995,2.8231999999999995,2.8231999999999995,2.8231999999999995
AFMD,2020-05-19,2.47,2.53,2.45,2.52,513320,2.52,2.52,2.52,2.5199999999999996
AFMD,2020-05-18,2.44,2.48,2.4,2.465,278884,2.4649999999999994,2.4649999999999994,2.4649999999999994,2.4649999999999994
AFMD,2020-05-15,2.09,2.17,2.0,2.1608,201341,2.1608,2.1608,2.1608,2.1608
AFMD,2020-05-14,2.05,2.05,1.88,1.97,157552,1.97,1.97,1.97,1.9699999999999998
AFMD,2020-05-13,2.15,2.175,2.1,2.16,63664,2.16,2.16,2.16,2.16
AFMD,2020-05-12,2.22,2.255,2.135,2.205,67920,2.205,2.205,2.205,2.205
AFMD,2020-05-11,2.26,2.2901,2.21,2.26,50178,2.26,2.26,2.26,2.26
AFMD,2020-06-22,3.97,4.03,3.91,3.9636,230944,3.9636,3.9636,3.9636,3.9635999999999996
AFMD,2020-06-19,3.6,3.66,3.56,3.63,270807,3.63,3.63,3.63,3.6299999999999994
AFMD,2020-06-18,3.43,3.62,3.4,3.56,125614,3.56,3.56,3.56,3.5599999999999996
AFMD,2020-06-17,3.63,3.75,3.5706,3.62,251621,3.62,3.62,3.62,3.6199999999999997
AFMD,2020-06-16,3.43,3.49,3.3573,3.475,222547,3.475,3.475,3.475,3.4749999999999996
