Symbol,Date,Open,High,Low,Close,Volume,NEOS SMA_x,NEOS spanTwelveEMA_x,NEOS spanTwntySixEMA_x,NEOS_x,NEOS_y,NEOS SMA_y,NEOS spanTwelveEMA_y,NEOS spanTwntySixEMA_y,NEOS_x,NEOS_y
NEOS,2021-01-06,0.6759999999999999,0.75,0.66,0.7290000000000001,3333910,0.7290000000000001,0.6433692307692307,0.632031550068587,0.01133768070064367,0.0028316842882768834,0.7290000000000001,0.7805308918303626,0.7747101803601301,0.0058207114702326646,0.0028316842882768834
NEOS,2021-01-05,0.68,0.68,0.66,0.6652,146177,0.6652,0.6277999999999999,0.624274074074074,0.0035259259259259328,0.0007051851851851865,0.6652,0.7899001448904286,0.7783669947889403,0.011533150101488254,0.0007051851851851865
NEOS,2021-01-04,0.61,0.6299,0.61,0.621,125092,0.621,0.621,0.621,0.0,0.0,0.621,0.8125728985068701,0.7874203543720556,0.02515254413481449,0.0
NEOS,2021-02-08,0.9345,0.94,0.9,0.919,1042024,,,,,,0.919,0.8474043345990283,0.8007339827218198,0.04667035187720836,
NEOS,2021-02-05,0.8959999999999999,0.9,0.8711,0.875549,335366,,,,,,0.8755489999999999,0.8343869408897606,0.7912727013395655,0.04311423955019511,
NEOS,2021-02-04,0.9111,0.93,0.88,0.885,822476,,,,,,0.8849999999999999,0.8269029301424443,0.7845305974467308,0.0423723326957135,
NEOS,2021-02-03,0.818,0.83,0.8,0.822499,693241,,,,,,0.8224989999999999,0.8163398265319796,0.7764930452424692,0.039846781289510365,
NEOS,2021-02-02,0.82,0.82,0.785,0.795,290676,,,,,,0.795,0.8152199768105213,0.7728125688618668,0.042407407948654496,
NEOS,2021-02-01,0.8148,0.82,0.7707,0.7824,488005,,,,,,0.7823999999999999,0.8188963362306161,0.7710375743708161,0.04785876185979998,
NEOS,2021-01-29,0.8311,0.8311,0.8006,0.80401,310832,,,,,,0.8040099999999999,0.8255320337270917,0.7701285803204814,0.05540345340661035,
NEOS,2021-01-28,0.8455,0.8798,0.8415,0.878,291303,,,,,,0.878,0.8294451307683811,0.7674180667461198,0.062027064022261325,
NEOS,2021-01-27,0.8498,0.85,0.82,0.845,572816,,,,,,0.8449999999999999,0.8206169727262685,0.7585715120858094,0.06204546064045913,
NEOS,2021-01-26,0.938,0.97,0.938,0.9627,1158057,,,,,,0.9627,0.8161836950401355,0.7516572330526741,0.06452646198746148,
NEOS,2021-01-25,0.86,0.8885,0.85,0.870001,348982,,,,,,0.8700009999999999,0.7895443668656148,0.7347738116968879,0.05477055516872675,
NEOS,2021-01-22,0.8585,0.8585,0.833,0.839699,325210,,,,,,0.8396989999999998,0.7749158881139083,0.7239556366326391,0.050960251481269266,
NEOS,2021-01-21,0.8608,0.89,0.82,0.8340000000000001,1395238,,,,,,0.8339999999999999,0.7631371404982553,0.7146961675632502,0.04844097293500516,
NEOS,2021-01-20,0.77,0.857,0.76,0.8358,2797739,,,,,,0.8357999999999999,0.7502529842252108,0.7051518609683102,0.04510112325690063,
NEOS,2021-01-19,0.7606,0.765,0.7509999999999999,0.759699,260551,,,,,,0.7596989999999998,0.7346989813570673,0.6947000098457751,0.039998971511292385,
NEOS,2021-01-19,0.7606,0.765,0.7509999999999999,0.759699,260551,,,,,,0.7596989999999998,0.7301535234219886,0.6895000906334369,0.04065343278855171,
NEOS,2021-01-15,0.77,0.7990520000000001,0.77,0.794,280979,,,,,,0.7939999999999999,0.7247816185896228,0.6838841778841118,0.040897440705510935,
NEOS,2021-01-14,0.79,0.7979999999999999,0.75,0.7523,509267,,,,,,0.7523,0.7121964583331906,0.6750749121148408,0.03712154621834973,
NEOS,2021-01-13,0.79,0.8549,0.7829999999999999,0.81,1727066,,,,,,0.81,0.7049049053028615,0.6688969050840281,0.036008000218833436,
NEOS,2021-01-12,0.7709999999999999,0.7899,0.753,0.7609999999999999,463806,,,,,,0.7609999999999999,0.6857967062670183,0.6576086574907504,0.028188048776267908,
NEOS,2021-01-11,0.75,0.75,0.710601,0.719599,465045,,,,,,0.7195989999999999,0.6721233801337488,0.6493373500900104,0.02278603004373847,
NEOS,2021-01-08,0.72,0.7297,0.71,0.7199,204163,,,,,,0.7198999999999999,0.6634914492489759,0.6437164180972111,0.01977503115176471,
NEOS,2021-01-07,0.721,0.73,0.69,0.707499,342979,,,,,,0.7074989999999999,0.6532353491124261,0.6376217315449879,0.015613617567437952,
NEOS,2021-01-06,0.6759999999999999,0.75,0.66,0.7290000000000001,3333910,,,,,,0.7290000000000001,0.6433692307692307,0.632031550068587,0.01133768070064367,
NEOS,2021-01-05,0.68,0.68,0.66,0.6652,146177,,,,,,0.6652,0.6277999999999999,0.624274074074074,0.0035259259259259328,
NEOS,2021-01-04,0.61,0.6299,0.61,0.621,125092,,,,,,0.621,0.621,0.621,0.0,
